# action|when|source
architecture-layout|Changing crate placement, top-level source layout, module shape, or responsibility directories|docs/guide/architecture/project-structure.md
architecture-boundary|Changing a workspace dependency edge, composition-root boundary, or responsibility ownership between crates|docs/guide/architecture/README.md
architecture-errors|Changing a cross-crate error category, concrete-failure ownership, or public error mapping|docs/guide/architecture/error-handling.md
ports-adapters|Changing a Port capability, atomicity boundary, adapter dispatch strategy, substitution seam, or adapter ownership|docs/guide/architecture/ports-and-adapters.md
security-auth|Adding or changing authentication, authorization, sessions, bearer credentials, passwords, or identity-provider integration|docs/guide/reference/authentication-and-authorization.md
security-http-input|Accepting untrusted transport input|docs/guide/security.md#http-input-and-domain-construction
security-outbound-destination|Accepting an untrusted network destination or request-selected URL|docs/guide/security.md#persistence-and-outbound-http
security-secrets|Handling a secret or changing telemetry redaction|docs/guide/security.md#secrets-and-operational-data
security-exposure|Changing network exposure, listener binding, or transport-security ownership|docs/guide/security.md#local-exposure
security-capability|Adding a security capability that the baseline does not install|docs/guide/security.md#capabilities-not-installed
security-extension|Verifying or extending an added security capability|docs/guide/security.md#extension-and-verification
testing-public-path|Changing public-path acceptance evidence, test placement, a public Just/CI/architecture/acceptance gate, or other cross-crate evidence|docs/guide/testing.md
testing-sqlx-offline|Changing SQLx metadata, offline query compilation, or the checked-query compile boundary|docs/guide/testing.md#sqlx-offline-is-a-compile-boundary
design-checkpoint|Changing a public workflow, Domain behavior, Port, database schema or index, persistence contract, or external integration|docs/guide/development.md#design-checkpoint
implementation-slices|Implementing a confirmed design through multiple dependent tasks|docs/guide/development.md#coherent-implementation-slices
dependency-selection|Adding or replacing a dependency|docs/guide/development.md#dependency-selection
governance|Changing AGENTS.md, Guide authority, context routing, context budgets, context compiler, or generated governance checks|docs/guide/development.md#governance-and-documentation-changes
rust-semantic-types|Changing a semantic type or deciding whether a primitive needs an owner|docs/guide/reference/idiomatic-rust.md#model-semantic-differences-not-directory-symmetry
rust-conversions|Changing a parser, formatter, boundary conversion, or conversion trait|docs/guide/reference/idiomatic-rust.md#use-the-standard-conversion-vocabulary
rust-ownership|Changing ownership or borrowing across a public boundary|docs/guide/reference/idiomatic-rust.md#preserve-ownership-and-borrowing
rust-naming|Changing a public business naming contract|docs/guide/reference/idiomatic-rust.md#name-code-predictably
sqlx-contract|Changing a fixed SQLx query or row reconstruction seam|docs/guide/reference/idiomatic-rust.md#sqlx-contract
performance|Tuning performance, caching, compression, streaming, pools, blocking work, benchmarks, or profiling|docs/guide/reference/performance.md
async-cancellation|Joining or racing Futures, or introducing another cancellation point|docs/guide/reference/async-and-cancellation.md#classify-every-cancellation-point
async-concurrency|Choosing a Future concurrency operation|docs/guide/reference/async-and-cancellation.md#choose-the-concurrency-operation-deliberately
async-server|Spawning independently scheduled work or adding a long-lived subsystem, stream, or listener|docs/guide/reference/async-and-cancellation.md#the-current-server-pattern
async-spawn|Adding spawned production tasks|docs/guide/reference/async-and-cancellation.md#spawned-tasks-require-ownership
async-timeout-mutation|Adding a timeout around mutating work|docs/guide/reference/async-and-cancellation.md#timeouts-do-not-roll-back-mutations
async-channel|Adding a channel loop or channel-backed capability|docs/guide/reference/async-and-cancellation.md#choose-channel-semantics-before-channel-type
